"","person_id","display_last_comma_first","display_first_last","rosterstatus","from_year","to_year","playercode","team_id","team_city","team_name","team_abbreviation","team_code","games_played_flag","otherleague_experience_ch"
"1197",2824,"Farmer, Desmon","Desmon Farmer",FALSE,2006,2008,"desmon_farmer",0,"","","","","Y","01"
"1198",76695,"Farmer, Jim","Jim Farmer",FALSE,1987,1993,"HISTADD_jim_farmer",0,"","","","","Y","00"
"1199",76694,"Farmer, Mike","Mike Farmer",FALSE,1958,1965,"HISTADD_mike_farmer",0,"","","","","Y","00"
"1200",1108,"Farmer, Tony","Tony Farmer",FALSE,1997,1999,"tony_farmer",0,"","","","","Y","00"
"1201",76696,"Faught, Bob","Bob Faught",FALSE,1946,1946,"HISTADD_bob_faught",0,"","","","","Y","00"
"1202",203543,"Faverani, Vitor","Vitor Faverani",FALSE,2013,2013,"vitor_faverani",0,"","","","","Y","01"
"1203",202324,"Favors, Derrick","Derrick Favors",TRUE,2010,2019,"derrick_favors",1610612762,"Utah","Jazz","UTA","jazz","Y","00"
"1204",201174,"Fazekas, Nick","Nick Fazekas",FALSE,2007,2007,"nick_fazekas",0,"","","","","Y","01"
"1205",76697,"Fedor, Dave","Dave Fedor",FALSE,1962,1962,"HISTADD_dave_fedor",0,"","","","","Y","00"
"1206",76698,"Feerick, Bob","Bob Feerick",FALSE,1946,1949,"HISTADD_bob_feerick",0,"","","","","Y","00"
"1207",76699,"Feher, Butch","Butch Feher",FALSE,1976,1976,"HISTADD_butch_feher",0,"","","","","Y","00"
"1208",994,"Feick, Jamie","Jamie Feick",FALSE,1996,2002,"jamie_feick",0,"","","","","Y","00"
"1209",76701,"Feiereisel, Ron","Ron Feiereisel",FALSE,1955,1955,"HISTADD_ron_feiereisel",0,"","","","","Y","00"
"1210",76702,"Feigenbaum, George","George Feigenbaum",FALSE,1949,1952,"HISTADD_george_feigenbaum",0,"","","","","Y","00"
"1211",76703,"Feitl, Dave","Dave Feitl",FALSE,1986,1991,"HISTADD_dave_feitl",0,"","","","","Y","00"
"1212",1627770,"Felder, Kay","Kay Felder",FALSE,2016,2017,"kay_felder",0,"","","","","Y","01"
"1213",1626245,"Felicio, Cristiano","Cristiano Felicio",TRUE,2015,2019,"cristiano_felicio",1610612741,"Chicago","Bulls","CHI","bulls","Y","11"
"1214",203467,"Felix, Carrick","Carrick Felix",FALSE,2013,2013,"carrick_felix",0,"","","","","Y","01"
"1215",101230,"Felix, Noel","Noel Felix",FALSE,2005,2005,"noel_felix",0,"","","","","Y","01"
"1216",76704,"Felix, Ray","Ray Felix",FALSE,1953,1961,"HISTADD_ray_felix",0,"","","","","Y","00"
"1217",101109,"Felton, Raymond","Raymond Felton",TRUE,2005,2019,"raymond_felton",1610612742,"Dallas","Mavericks","DAL","mavericks","Y","00"
"1218",76705,"Fendley, Jake","Jake Fendley",FALSE,1951,1952,"HISTADD_jake_fendley",0,"","","","","Y","00"
"1219",76706,"Fenley, Bill","Bill Fenley",FALSE,1946,1946,"HISTADD_bill_fenley",0,"","","","","Y","00"
"1220",2724,"Ferguson, Desmond","Desmond Ferguson",FALSE,2003,2003,"desmond_ferguson",0,"","","","","Y","00"
"1221",1628390,"Ferguson, Terrance","Terrance Ferguson",FALSE,2017,2019,"terrance_ferguson",0,"","","","","Y","01"
"1222",201164,"Fernandez, Rudy","Rudy Fernandez",FALSE,2008,2011,"rudy_fernandez",0,"","","","","Y","00"
"1223",1628981,"Fernando, Bruno","Bruno Fernando",FALSE,2019,2019,"bruno_fernando",0,"","","","","N","00"
"1224",76707,"Fernsten, Eric","Eric Fernsten",FALSE,1975,1983,"HISTADD_eric_fernsten",0,"","","","","Y","00"
"1225",76708,"Ferrari, Al","Al Ferrari",FALSE,1955,1962,"HISTADD_al_ferrari",0,"","","","","Y","00"
"1226",76709,"Ferreira, Rolando","Rolando Ferreira",FALSE,1988,1988,"HISTADD_rolando_ferreira",0,"","","","","Y","00"
"1227",273,"Ferrell, Duane","Duane Ferrell",FALSE,1988,1998,"duane_ferrell",0,"","","","","Y","00"
"1228",1627812,"Ferrell, Yogi","Yogi Ferrell",FALSE,2016,2019,"yogi_ferrell",0,"","","","","Y","01"
"1229",76711,"Ferrin, Arnie","Arnie Ferrin",FALSE,1948,1950,"HISTADD_arnie_ferrin",0,"","","","","Y","00"
"1230",76712,"Ferry, Bob","Bob Ferry",FALSE,1959,1968,"HISTADD_bob_ferry",0,"","","","","Y","00"
"1231",198,"Ferry, Danny","Danny Ferry",FALSE,1990,2002,"danny_ferry",0,"","","","","Y","00"
"1232",201178,"Fesenko, Kyrylo","Kyrylo Fesenko",FALSE,2007,2011,"kyrylo_fesenko",0,"","","","","Y","01"
"1233",76713,"Fields, Kenny","Kenny Fields",FALSE,1984,1987,"HISTADD_kenny_fields",0,"","","","","Y","00"
"1234",202361,"Fields, Landry","Landry Fields",FALSE,2010,2014,"landry_fields",0,"","","","","Y","00"
